Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
42,8,0.01,LAMB,1.0981,1.0959,1.0973,0.3394,0.3152,0.3262,0.2327,0.0999,0.2911,0.3394,0.3152,0.3262,0.2745,0.1517,0.1646,0.5017,0.5355,0.5162,1.0232,0.8385,0.8264
43,8,0.01,LAMB,1.0985,1.0954,1.0973,0.3342,0.3152,0.3262,0.2275,0.0999,0.2911,0.3342,0.3152,0.3262,0.2696,0.1517,0.1646,0.4912,0.54,0.5183,1.0534,0.8385,0.8264
44,8,0.01,LAMB,1.0984,1.0956,1.0973,0.3325,0.3152,0.3262,0.2273,0.0999,0.2911,0.3325,0.3152,0.3262,0.2695,0.1517,0.1646,0.4906,0.5412,0.5189,1.0518,0.8385,0.8264
45,8,0.01,LAMB,1.0987,1.0959,1.0973,0.3194,0.3152,0.3262,0.2192,0.0999,0.2911,0.3194,0.3152,0.3262,0.2584,0.1517,0.1646,0.485,0.5409,0.514,1.0254,0.8385,0.8264
46,8,0.01,LAMB,1.0979,1.0962,1.0973,0.3377,0.3152,0.3262,0.2313,0.0999,0.2911,0.3377,0.3152,0.3262,0.2734,0.1517,0.1646,0.5048,0.5394,0.5171,1.0317,0.8385,0.8264
47,8,0.01,LAMB,1.0984,1.0953,1.0973,0.3351,0.3152,0.3323,0.2289,0.0999,0.3292,0.3351,0.3152,0.3323,0.2709,0.1517,0.1773,0.4896,0.5346,0.5131,1.043,0.8385,0.8282
48,8,0.01,LAMB,1.0984,1.0959,1.0973,0.3368,0.3152,0.3262,0.2297,0.0999,0.2911,0.3368,0.3152,0.3262,0.2716,0.1517,0.1646,0.4883,0.5357,0.5138,1.0409,0.8385,0.8264
49,8,0.01,LAMB,1.0984,1.0959,1.0973,0.3359,0.3152,0.3323,0.2309,0.0999,0.3183,0.3359,0.3152,0.3323,0.2729,0.1517,0.182,0.484,0.5377,0.5151,1.0198,0.8385,0.8282
50,8,0.01,LAMB,1.0978,1.0959,1.0973,0.3551,0.3152,0.3323,0.2441,0.0999,0.3183,0.3551,0.3152,0.3323,0.2884,0.1517,0.182,0.5128,0.542,0.5178,1.0117,0.8385,0.8282
51,8,0.01,LAMB,1.0983,1.0962,1.0973,0.3185,0.3212,0.3293,0.2178,0.3005,0.2914,0.3185,0.3212,0.3293,0.2578,0.1642,0.176,0.4903,0.5506,0.5192,1.0447,0.8348,0.8301
52,8,0.01,LAMB,1.0988,1.0959,1.0973,0.3272,0.3152,0.3262,0.2241,0.0999,0.2911,0.3272,0.3152,0.3262,0.2646,0.1517,0.1646,0.4813,0.5549,0.5194,1.0317,0.8385,0.8264
53,8,0.01,LAMB,1.098,1.0953,1.0973,0.3438,0.3212,0.3293,0.2353,0.3005,0.2914,0.3438,0.3212,0.3293,0.278,0.1642,0.176,0.506,0.5466,0.5213,1.03,0.8348,0.8301
54,8,0.01,LAMB,1.0985,1.0956,1.0973,0.3333,0.3152,0.3323,0.2268,0.2325,0.3183,0.3333,0.3152,0.3323,0.2685,0.1618,0.182,0.4876,0.5491,0.5176,1.0501,0.8385,0.8282
55,8,0.01,LAMB,1.0981,1.0953,1.0973,0.3525,0.3152,0.3323,0.2412,0.0999,0.3183,0.3525,0.3152,0.3323,0.2855,0.1517,0.182,0.5048,0.5477,0.5194,1.0334,0.8385,0.8282
56,8,0.01,LAMB,1.0983,1.0962,1.0973,0.3325,0.3152,0.3293,0.2277,0.0999,0.3534,0.3325,0.3152,0.3293,0.2687,0.1517,0.1709,0.4924,0.5411,0.5187,1.0279,0.8385,0.8245
57,8,0.01,LAMB,1.098,1.0959,1.0973,0.3542,0.3212,0.3323,0.2421,0.2998,0.3183,0.3542,0.3212,0.3323,0.2867,0.1738,0.182,0.5064,0.5422,0.5193,1.0376,0.8348,0.8282
58,8,0.01,LAMB,1.0983,1.0962,1.0973,0.3481,0.3152,0.3323,0.238,0.2325,0.3183,0.3481,0.3152,0.3323,0.2817,0.1618,0.182,0.4919,0.5387,0.5184,1.038,0.8385,0.8282
59,8,0.01,LAMB,1.0986,1.0953,1.0972,0.3394,0.3212,0.3323,0.2318,0.2998,0.3183,0.3394,0.3212,0.3323,0.2743,0.1738,0.182,0.4901,0.5492,0.5214,1.0422,0.8348,0.8282
60,8,0.01,LAMB,1.0983,1.0956,1.0972,0.349,0.3212,0.3293,0.2385,0.2998,0.2707,0.349,0.3212,0.3293,0.2828,0.1738,0.1809,0.4954,0.5436,0.5234,1.0464,0.8348,0.8356
61,8,0.01,LAMB,1.0979,1.0958,1.0972,0.3499,0.3212,0.3293,0.2391,0.2998,0.2707,0.3499,0.3212,0.3293,0.2836,0.1738,0.1809,0.5069,0.5433,0.5232,1.0497,0.8348,0.8356
62,8,0.01,LAMB,1.0983,1.0959,1.0972,0.3307,0.3212,0.3293,0.2262,0.2998,0.2707,0.3307,0.3212,0.3293,0.2679,0.1738,0.1809,0.4963,0.5448,0.5235,1.0451,0.8348,0.8356
63,8,0.01,LAMB,1.0979,1.0956,1.0972,0.3412,0.3212,0.3293,0.2333,0.2998,0.2707,0.3412,0.3212,0.3293,0.2765,0.1738,0.1809,0.5091,0.5438,0.524,1.0464,0.8348,0.8356
64,8,0.01,LAMB,1.0976,1.0959,1.0972,0.3603,0.3212,0.3293,0.2466,0.2998,0.2707,0.3603,0.3212,0.3293,0.292,0.1738,0.1809,0.5148,0.5441,0.523,1.0321,0.8348,0.8356
65,8,0.01,LAMB,1.0977,1.0959,1.0972,0.3412,0.3212,0.3293,0.2334,0.2998,0.2707,0.3412,0.3212,0.3293,0.2766,0.1738,0.1809,0.5181,0.5449,0.5229,1.0439,0.8348,0.8356
66,8,0.01,LAMB,1.0987,1.0953,1.0972,0.3368,0.3212,0.3293,0.2308,0.2998,0.2707,0.3368,0.3212,0.3293,0.273,0.1738,0.1809,0.4879,0.5452,0.5226,1.0334,0.8348,0.8356
67,8,0.01,LAMB,1.0977,1.0956,1.0972,0.3507,0.3212,0.3293,0.24,0.2998,0.2707,0.3507,0.3212,0.3293,0.2835,0.1738,0.1809,0.515,0.5458,0.5225,1.0279,0.8348,0.8356
68,8,0.01,LAMB,1.098,1.0958,1.0972,0.3333,0.3212,0.3293,0.2278,0.2998,0.2707,0.3333,0.3212,0.3293,0.2698,0.1738,0.1809,0.5021,0.5465,0.5234,1.0439,0.8348,0.8356
69,8,0.01,LAMB,1.0979,1.0956,1.0972,0.3499,0.3212,0.3293,0.2397,0.2998,0.2707,0.3499,0.3212,0.3293,0.2837,0.1738,0.1809,0.5098,0.5469,0.5242,1.0296,0.8348,0.8356
70,8,0.01,LAMB,1.098,1.0956,1.0972,0.3394,0.3212,0.3293,0.2322,0.2998,0.291,0.3394,0.3212,0.3293,0.2749,0.1738,0.1807,0.5081,0.5467,0.5241,1.0397,0.8348,0.8301
71,8,0.01,LAMB,1.0985,1.0958,1.0972,0.3333,0.3212,0.3293,0.2277,0.2998,0.2707,0.3333,0.3212,0.3293,0.2702,0.1738,0.1809,0.4911,0.5465,0.5249,1.0612,0.8348,0.8356
72,8,0.01,LAMB,1.0978,1.0958,1.0972,0.349,0.3212,0.3293,0.2386,0.2998,0.2707,0.349,0.3212,0.3293,0.2833,0.1738,0.1809,0.5129,0.5474,0.5251,1.0612,0.8348,0.8356
73,8,0.01,LAMB,1.0984,1.0956,1.0972,0.322,0.3212,0.3293,0.2202,0.2998,0.291,0.322,0.3212,0.3293,0.2612,0.1738,0.1807,0.4941,0.5498,0.5254,1.0579,0.8348,0.8301
