Epoch,Batch Size,Learning Rate,Optimizer,Train Loss,Test Loss,Val Loss,Train Acc,Test Acc,Val Acc,Train Precision,Test Precision,Val Precision,Train Recall,Test Recall,Val Recall,Train F1 Score,Test F1 Score,Val F1 Score,Train ROC AUC,Test ROC AUC,Val ROC AUC,Train RMSE,Test RMSE,Val RMSE
5,64,0.01,AdamW,1.1115,1.0989,1.0989,0.3353,0.3404,0.3458,0.3325,0.2473,0.3017,0.3353,0.3404,0.3458,0.3303,0.2,0.199,0.4977,0.4764,0.4863,1.146,0.8341,0.832
1,64,0.01,LAMB,1.1303,1.1144,1.1155,0.3323,0.3367,0.3398,0.331,0.2669,0.2499,0.3323,0.3367,0.3398,0.3304,0.1707,0.1738,0.4972,0.4914,0.4948,1.1409,1.2589,1.2656
2,64,0.01,LAMB,1.1009,1.0995,1.0993,0.337,0.3072,0.3141,0.3278,0.0944,0.0987,0.337,0.3072,0.3141,0.3141,0.1444,0.1502,0.4998,0.5156,0.5012,1.1306,1.305,1.3055
3,64,0.01,LAMB,1.0998,1.098,1.0995,0.3446,0.356,0.3464,0.3294,0.1268,0.12,0.3446,0.356,0.3464,0.2924,0.1869,0.1782,0.4972,0.5327,0.5077,1.1051,0.8025,0.8085
4,64,0.01,LAMB,1.0987,1.0985,1.0991,0.343,0.356,0.3464,0.3331,0.1268,0.12,0.343,0.356,0.3464,0.2897,0.1869,0.1782,0.4997,0.494,0.5038,1.1475,0.8025,0.8085
5,64,0.01,LAMB,1.0989,1.1003,1.0998,0.3436,0.3367,0.3395,0.3237,0.1134,0.1152,0.3436,0.3367,0.3395,0.2878,0.1697,0.1721,0.4987,0.5076,0.4901,1.0598,1.2589,1.2661
1,64,0.001,AdamW,1.1731,1.0972,1.1008,0.3361,0.356,0.3464,0.3347,0.1268,0.12,0.3361,0.356,0.3464,0.3348,0.1869,0.1782,0.5003,0.5321,0.5076,1.1469,0.8025,0.8085
2,64,0.001,AdamW,1.1126,1.1109,1.1106,0.3403,0.3072,0.3141,0.3384,0.0944,0.2718,0.3403,0.3072,0.3141,0.3358,0.1444,0.1507,0.5037,0.5236,0.5052,1.1432,1.305,1.3055
3,64,0.001,AdamW,1.1129,1.1022,1.1067,0.3416,0.356,0.3464,0.3393,0.1268,0.12,0.3416,0.356,0.3464,0.3298,0.1869,0.1782,0.5005,0.5276,0.5054,1.1009,0.8025,0.8085
4,64,0.001,AdamW,1.1052,1.0986,1.1016,0.3371,0.356,0.3464,0.3355,0.1268,0.12,0.3371,0.356,0.3464,0.3335,0.1869,0.1782,0.5023,0.5244,0.5052,1.1317,0.8025,0.8085
5,64,0.001,AdamW,1.1039,1.1055,1.1038,0.328,0.309,0.3199,0.3272,0.2044,0.2176,0.328,0.309,0.3199,0.3262,0.2052,0.2185,0.4998,0.5119,0.5205,1.1646,1.3022,1.2967
1,64,0.001,LAMB,1.1404,1.1339,1.1378,0.3348,0.3566,0.3467,0.334,0.2392,0.2559,0.3348,0.3566,0.3467,0.3338,0.1884,0.1795,0.4971,0.5111,0.5231,1.1446,0.8044,0.8094
2,64,0.001,LAMB,1.1147,1.1052,1.1095,0.3368,0.3482,0.3419,0.3348,0.3201,0.2452,0.3368,0.3482,0.3419,0.3322,0.1975,0.1906,0.5057,0.5412,0.5302,1.138,1.245,1.254
3,64,0.001,LAMB,1.1105,1.1266,1.1259,0.3445,0.3373,0.3398,0.3425,0.4696,0.2539,0.3445,0.3373,0.3398,0.3417,0.171,0.1733,0.5117,0.5397,0.5431,1.1383,1.2587,1.2652
4,64,0.001,LAMB,1.1045,1.1015,1.1013,0.3452,0.3554,0.3618,0.3436,0.4752,0.3804,0.3452,0.3554,0.3618,0.3428,0.2573,0.2675,0.5129,0.5373,0.5362,1.1226,1.2304,1.2292
5,64,0.001,LAMB,1.1036,1.1073,1.1125,0.3409,0.35,0.3536,0.3396,0.2378,0.2436,0.3409,0.35,0.3536,0.3368,0.2776,0.2816,0.5102,0.5399,0.5391,1.1278,1.003,0.9771
